"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYER",2025-09-05 18:10:00,2025-09-05 14:10:00,"IFR",8,8,100,30,13,3600,29.4,NA,"OVC  ft","CYER 051810Z AUTO 03013G19KT 2 1/4SM -RA BR OVC010 08/08 A2940 RMK VIS VRB 1 1/4-3 SLP958",2025-09-05 18:23:20.572107,2025-09-05 14:23:20.572107
"CYAT",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",11,7,77,160,5,14500,29.33,NA,"BKN  ft; BKN  ft; OVC  ft","CYAT 051800Z AUTO 16005KT 130V190 9SM -RA BKN026 BKN040 OVC055 11/07 A2933 RMK SLP933 DENSITY ALT 300FT",2025-09-05 18:23:20.664756,2025-09-05 14:23:20.664756
"CYMO",2025-09-05 18:15:00,2025-09-05 14:15:00,"MVFR",12,11,94,120,9,9700,29.32,NA,"SCT  ft; BKN  ft; BKN  ft; OVC  ft","CYMO 051815Z AUTO 12009KT 6SM -RA BR SCT014 BKN024 BKN034 OVC044 12/11 A2932 RMK PCPN 0.8MM PAST HR SLP932 DENSITY ALT 400FT",2025-09-05 18:23:20.748801,2025-09-05 14:23:20.748801
"CYPL",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",4,3,93,300,11,14500,29.39,NA,"OVC  ft","CYPL 051800Z AUTO 30011G18KT 270V330 9SM OVC013 04/03 A2939 RMK SLP971",2025-09-05 18:23:20.854971,2025-09-05 14:23:20.854971
"CYQT",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",10,4,67,280,13,32200,29.48,NA,"SCT  ft; BKN  ft; OVC  ft","CYQT 051800Z 28013G24KT 20SM -RA SCT036 BKN046 OVC085 10/04 A2948 RMK SC3SC3AC2 -RA INTMT SLP990",2025-09-05 18:23:20.942671,2025-09-05 14:23:20.942671
"CYAM",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",13,6,63,270,20,24100,29.51,NA,"SCT  ft; BKN  ft; BKN  ft","CYAM 051800Z 27020G26KT 15SM VCSH SCT031 BKN048 BKN084 13/06 A2951 RMK CU4SC2AC1 VCSH S W /R10/ SLP000 DENSITY ALT 1000FT",2025-09-05 18:23:21.028857,2025-09-05 14:23:21.028857
"CYTS",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",13,11,88,170,12,24100,29.25,NA,"BKN  ft; OVC  ft","CYTS 051800Z 17012G20KT 15SM -SHRA BKN010 OVC035 13/11 A2925 RMK SF5SC3 CVCTV CLD EMBD SLP913 DENSITY ALT 1700FT",2025-09-05 18:23:21.116136,2025-09-05 14:23:21.116136
"CYSB",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",11,9,88,220,22,32200,29.44,NA,"BKN  ft; BKN  ft","CYSB 051800Z 22022G40KT 20SM R22/4500VP6000FT/D -TSRA BKN025CB BKN060 11/09 A2944 RMK CB5SC2 CB E MVG E VIS E 2 PRESRR SLP977 DENSITY ALT 1500FT",2025-09-05 18:23:21.240186,2025-09-05 14:23:21.240186
"CYYB",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",17,11,68,190,27,32200,29.49,NA,"BKN  ft","CYYB 051800Z 19027G36KT 20SM BKN029 17/11 A2949 RMK CU7 SLP991 DENSITY ALT 2200FT",2025-09-05 18:23:21.326245,2025-09-05 14:23:21.326245
"CYOW",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,11,47,180,16,24100,29.71,NA,"FEW  ft; BKN  ft","CYOW 051800Z 18016G24KT 150V210 15SM FEW040 BKN140 23/11 A2971 RMK CU1AC4 SLP065 DENSITY ALT 1700FT",2025-09-05 18:23:21.412062,2025-09-05 14:23:21.412062
"CYGK",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,14,61,200,19,24100,29.75,NA,"SCT  ft; SCT  ft","CYGK 051800Z 20019G27KT 15SM SCT036 SCT250 22/14 A2975 RMK CU3CI1 SLP075 DENSITY ALT 1400FT",2025-09-05 18:23:21.499027,2025-09-05 14:23:21.499027
"CYQG",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,9,41,250,23,14500,29.71,NA,"SCT  ft","CYQG 051800Z AUTO 25023G36KT 9SM SCT055 23/09 A2971 RMK SLP063 DENSITY ALT 1900FT",2025-09-05 18:23:21.583897,2025-09-05 14:23:21.583897
"CYVV",2025-09-05 18:18:00,2025-09-05 14:18:00,"VFR",18,12,68,220,19,9999,29.57,NA,"BKN  ft","CYVV 051818Z 22019G35KT 10SM -TSRA BKN043CB 18/12 A2957 RMK CB7 SLP018 DENSITY ALT 1700FT",2025-09-05 18:23:21.66789,2025-09-05 14:23:21.66789
"CYYZ",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,12,53,210,19,24100,29.66,NA,"BKN  ft; BKN  ft","CYYZ 051800Z 21019G31KT 15SM BKN047 BKN100 22/12 A2966 RMK CU5AC2 SLP044 DENSITY ALT 1900FT",2025-09-05 18:23:21.752286,2025-09-05 14:23:21.752286
"CYQA",2025-09-05 18:17:00,2025-09-05 14:17:00,"VFR",18,12,68,220,9,14500,29.6,NA,"BKN  ft; BKN  ft; BKN  ft; OVC  ft","CYQA 051817Z AUTO 22009G16KT 200V260 9SM BKN035 BKN045 BKN055 OVC110 18/12 A2960 RMK LTNG DIST NW SLP024 DENSITY ALT 1900FT",2025-09-05 18:23:21.838666,2025-09-05 14:23:21.838666
"CYER",2025-09-05 18:22:00,2025-09-05 14:22:00,"IFR",8,8,100,30,13,2800,29.4,NA,"OVC  ft","CYER 051822Z AUTO 03013G19KT 1 3/4SM -RA BR OVC008 08/08 A2940 RMK PCPN 0.5MM PAST HR SLP959",2025-09-05 18:32:24.786505,2025-09-05 14:32:24.786505
"CYAT",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",11,7,77,160,5,14500,29.33,NA,"BKN  ft; BKN  ft; OVC  ft","CYAT 051800Z AUTO 16005KT 130V190 9SM -RA BKN026 BKN040 OVC055 11/07 A2933 RMK SLP933 DENSITY ALT 300FT",2025-09-05 18:32:24.88745,2025-09-05 14:32:24.88745
"CYMO",2025-09-05 18:15:00,2025-09-05 14:15:00,"MVFR",12,11,94,120,9,9700,29.32,NA,"SCT  ft; BKN  ft; BKN  ft; OVC  ft","CYMO 051815Z AUTO 12009KT 6SM -RA BR SCT014 BKN024 BKN034 OVC044 12/11 A2932 RMK PCPN 0.8MM PAST HR SLP932 DENSITY ALT 400FT",2025-09-05 18:32:24.980023,2025-09-05 14:32:24.980023
"CYPL",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",4,3,93,300,11,14500,29.39,NA,"OVC  ft","CYPL 051800Z AUTO 30011G18KT 270V330 9SM OVC013 04/03 A2939 RMK SLP971",2025-09-05 18:32:25.071877,2025-09-05 14:32:25.071877
"CYQT",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",10,4,67,280,13,32200,29.48,NA,"SCT  ft; BKN  ft; OVC  ft","CYQT 051800Z 28013G24KT 20SM -RA SCT036 BKN046 OVC085 10/04 A2948 RMK SC3SC3AC2 -RA INTMT SLP990",2025-09-05 18:32:25.179548,2025-09-05 14:32:25.179548
"CYAM",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",13,6,63,270,20,24100,29.51,NA,"SCT  ft; BKN  ft; BKN  ft","CYAM 051800Z 27020G26KT 15SM VCSH SCT031 BKN048 BKN084 13/06 A2951 RMK CU4SC2AC1 VCSH S W /R10/ SLP000 DENSITY ALT 1000FT",2025-09-05 18:32:25.278238,2025-09-05 14:32:25.278238
"CYTS",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",13,11,88,170,12,24100,29.25,NA,"BKN  ft; OVC  ft","CYTS 051800Z 17012G20KT 15SM -SHRA BKN010 OVC035 13/11 A2925 RMK SF5SC3 CVCTV CLD EMBD SLP913 DENSITY ALT 1700FT",2025-09-05 18:32:25.412797,2025-09-05 14:32:25.412797
"CYSB",2025-09-05 18:22:00,2025-09-05 14:22:00,"VFR",12,10,88,220,17,32200,29.43,NA,"SCT  ft; BKN  ft; BKN  ft","CYSB 051822Z 22017G25KT 20SM -SHRA SCT062 BKN110 BKN230 12/10 A2943 RMK CU3AC2CI1 SLP973 DENSITY ALT 1600FT",2025-09-05 18:32:25.508231,2025-09-05 14:32:25.508231
"CYYB",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",17,11,68,190,27,32200,29.49,NA,"BKN  ft","CYYB 051800Z 19027G36KT 20SM BKN029 17/11 A2949 RMK CU7 SLP991 DENSITY ALT 2200FT",2025-09-05 18:32:25.645684,2025-09-05 14:32:25.645684
"CYOW",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,11,47,180,16,24100,29.71,NA,"FEW  ft; BKN  ft","CYOW 051800Z 18016G24KT 150V210 15SM FEW040 BKN140 23/11 A2971 RMK CU1AC4 SLP065 DENSITY ALT 1700FT",2025-09-05 18:32:25.737622,2025-09-05 14:32:25.737622
"CYGK",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,14,61,200,19,24100,29.75,NA,"SCT  ft; SCT  ft","CYGK 051800Z 20019G27KT 15SM SCT036 SCT250 22/14 A2975 RMK CU3CI1 SLP075 DENSITY ALT 1400FT",2025-09-05 18:32:25.831022,2025-09-05 14:32:25.831022
"CYQG",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,9,41,250,23,14500,29.71,NA,"SCT  ft","CYQG 051800Z AUTO 25023G36KT 9SM SCT055 23/09 A2971 RMK SLP063 DENSITY ALT 1900FT",2025-09-05 18:32:25.92152,2025-09-05 14:32:25.92152
"CYVV",2025-09-05 18:26:00,2025-09-05 14:26:00,"MVFR",14,11,82,250,19,6400,29.6,NA,"BKN  ft; BKN  ft","CYVV 051826Z 25019G35KT 4SM TSRA BKN033CB BKN080 14/11 A2960 RMK CB7AC1 AC TR PRESRR SLP027 DENSITY ALT 1200FT",2025-09-05 18:32:26.013116,2025-09-05 14:32:26.013116
"CYYZ",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,12,53,210,19,24100,29.66,NA,"BKN  ft; BKN  ft","CYYZ 051800Z 21019G31KT 15SM BKN047 BKN100 22/12 A2966 RMK CU5AC2 SLP044 DENSITY ALT 1900FT",2025-09-05 18:32:26.103777,2025-09-05 14:32:26.103777
"CYQA",2025-09-05 18:28:00,2025-09-05 14:28:00,"VFR",18,12,68,210,9,14500,29.6,NA,"SCT  ft; BKN  ft; BKN  ft; OVC  ft","CYQA 051828Z AUTO 21009KT 9SM -RA SCT035 BKN042 BKN055 OVC075 18/12 A2960 RMK LTNG DIST NE W NW SLP024 DENSITY ALT 1900FT",2025-09-05 18:32:26.19432,2025-09-05 14:32:26.19432
"CYER",2025-09-05 18:29:00,2025-09-05 14:29:00,"IFR",8,8,100,30,13,4000,29.4,NA,"OVC  ft","CYER 051829Z AUTO 03013G19KT 2 1/2SM -RA BR OVC008 08/08 A2940 RMK PCPN 0.5MM PAST HR SLP959",2025-09-05 18:37:17.669546,2025-09-05 14:37:17.669546
"CYAT",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",11,7,77,160,5,14500,29.33,NA,"BKN  ft; BKN  ft; OVC  ft","CYAT 051800Z AUTO 16005KT 130V190 9SM -RA BKN026 BKN040 OVC055 11/07 A2933 RMK SLP933 DENSITY ALT 300FT",2025-09-05 18:37:17.746118,2025-09-05 14:37:17.746118
"CYMO",2025-09-05 18:34:00,2025-09-05 14:34:00,"MVFR",12,11,94,100,10,11300,29.31,NA,"FEW  ft; SCT  ft; BKN  ft; OVC  ft","CYMO 051834Z AUTO 10010G16KT 7SM -RA FEW009 SCT015 BKN027 OVC050 12/11 A2931 RMK PCPN 1.2MM PAST HR SLP928 DENSITY ALT 400FT",2025-09-05 18:37:17.815784,2025-09-05 14:37:17.815784
"CYPL",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",4,3,93,300,11,14500,29.39,NA,"OVC  ft","CYPL 051800Z AUTO 30011G18KT 270V330 9SM OVC013 04/03 A2939 RMK SLP971",2025-09-05 18:37:17.890694,2025-09-05 14:37:17.890694
"CYQT",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",10,4,67,280,13,32200,29.48,NA,"SCT  ft; BKN  ft; OVC  ft","CYQT 051800Z 28013G24KT 20SM -RA SCT036 BKN046 OVC085 10/04 A2948 RMK SC3SC3AC2 -RA INTMT SLP990",2025-09-05 18:37:17.962849,2025-09-05 14:37:17.962849
"CYAM",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",13,6,63,270,20,24100,29.51,NA,"SCT  ft; BKN  ft; BKN  ft","CYAM 051800Z 27020G26KT 15SM VCSH SCT031 BKN048 BKN084 13/06 A2951 RMK CU4SC2AC1 VCSH S W /R10/ SLP000 DENSITY ALT 1000FT",2025-09-05 18:37:18.031088,2025-09-05 14:37:18.031088
"CYTS",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",13,11,88,170,12,24100,29.25,NA,"BKN  ft; OVC  ft","CYTS 051800Z 17012G20KT 15SM -SHRA BKN010 OVC035 13/11 A2925 RMK SF5SC3 CVCTV CLD EMBD SLP913 DENSITY ALT 1700FT",2025-09-05 18:37:18.058828,2025-09-05 14:37:18.058828
"CYSB",2025-09-05 18:22:00,2025-09-05 14:22:00,"VFR",12,10,88,220,17,32200,29.43,NA,"SCT  ft; BKN  ft; BKN  ft","CYSB 051822Z 22017G25KT 20SM -SHRA SCT062 BKN110 BKN230 12/10 A2943 RMK CU3AC2CI1 SLP973 DENSITY ALT 1600FT",2025-09-05 18:37:18.127346,2025-09-05 14:37:18.127346
"CYYB",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",17,11,68,190,27,32200,29.49,NA,"BKN  ft","CYYB 051800Z 19027G36KT 20SM BKN029 17/11 A2949 RMK CU7 SLP991 DENSITY ALT 2200FT",2025-09-05 18:37:18.195532,2025-09-05 14:37:18.195532
"CYOW",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,11,47,180,16,24100,29.71,NA,"FEW  ft; BKN  ft","CYOW 051800Z 18016G24KT 150V210 15SM FEW040 BKN140 23/11 A2971 RMK CU1AC4 SLP065 DENSITY ALT 1700FT",2025-09-05 18:37:18.262414,2025-09-05 14:37:18.262414
"CYGK",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,14,61,200,19,24100,29.75,NA,"SCT  ft; SCT  ft","CYGK 051800Z 20019G27KT 15SM SCT036 SCT250 22/14 A2975 RMK CU3CI1 SLP075 DENSITY ALT 1400FT",2025-09-05 18:37:18.333788,2025-09-05 14:37:18.333788
"CYQG",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,9,41,250,23,14500,29.71,NA,"SCT  ft","CYQG 051800Z AUTO 25023G36KT 9SM SCT055 23/09 A2971 RMK SLP063 DENSITY ALT 1900FT",2025-09-05 18:37:18.401715,2025-09-05 14:37:18.401715
"CYVV",2025-09-05 18:26:00,2025-09-05 14:26:00,"MVFR",14,11,82,250,19,6400,29.6,NA,"BKN  ft; BKN  ft","CYVV 051826Z 25019G35KT 4SM TSRA BKN033CB BKN080 14/11 A2960 RMK CB7AC1 AC TR PRESRR SLP027 DENSITY ALT 1200FT",2025-09-05 18:37:18.469835,2025-09-05 14:37:18.469835
"CYYZ",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,12,53,210,19,24100,29.66,NA,"BKN  ft; BKN  ft","CYYZ 051800Z 21019G31KT 15SM BKN047 BKN100 22/12 A2966 RMK CU5AC2 SLP044 DENSITY ALT 1900FT",2025-09-05 18:37:18.542693,2025-09-05 14:37:18.542693
"CYQA",2025-09-05 18:28:00,2025-09-05 14:28:00,"VFR",18,12,68,210,9,14500,29.6,NA,"SCT  ft; BKN  ft; BKN  ft; OVC  ft","CYQA 051828Z AUTO 21009KT 9SM -RA SCT035 BKN042 BKN055 OVC075 18/12 A2960 RMK LTNG DIST NE W NW SLP024 DENSITY ALT 1900FT",2025-09-05 18:37:18.615676,2025-09-05 14:37:18.615676
"CYER",2025-09-05 18:44:00,2025-09-05 14:44:00,"IFR",8,8,100,40,11,12900,29.4,NA,"BKN  ft; OVC  ft","CYER 051844Z AUTO 04011G16KT 8SM BKN006 OVC010 08/08 A2940 RMK PCPN 0.5MM PAST HR SLP959",2025-09-05 18:48:16.951067,2025-09-05 14:48:16.951067
"CYAT",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",11,7,77,160,5,14500,29.33,NA,"BKN  ft; BKN  ft; OVC  ft","CYAT 051800Z AUTO 16005KT 130V190 9SM -RA BKN026 BKN040 OVC055 11/07 A2933 RMK SLP933 DENSITY ALT 300FT",2025-09-05 18:48:17.071234,2025-09-05 14:48:17.071234
"CYMO",2025-09-05 18:35:00,2025-09-05 14:35:00,"MVFR",12,11,94,100,11,11300,29.31,NA,"FEW  ft; SCT  ft; BKN  ft; OVC  ft","CYMO 051835Z AUTO 10011G16KT 7SM -RA FEW009 SCT015 BKN027 OVC050 12/11 A2931 RMK PCPN 1.2MM PAST HR SLP928 DENSITY ALT 400FT",2025-09-05 18:48:17.187673,2025-09-05 14:48:17.187673
"CYPL",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",4,3,93,300,11,14500,29.39,NA,"OVC  ft","CYPL 051800Z AUTO 30011G18KT 270V330 9SM OVC013 04/03 A2939 RMK SLP971",2025-09-05 18:48:17.261511,2025-09-05 14:48:17.261511
"CYQT",2025-09-05 18:42:00,2025-09-05 14:42:00,"VFR",11,3,58,290,20,32200,29.48,NA,"BKN  ft; OVC  ft","CYQT 051842Z 29020G30KT 20SM BKN040 OVC090 11/03 A2948 RMK SC6AC2 SLP991 DENSITY ALT 900FT",2025-09-05 18:48:17.339242,2025-09-05 14:48:17.339242
"CYAM",2025-09-05 18:35:00,2025-09-05 14:35:00,"VFR",13,6,63,270,15,9700,29.53,NA,"SCT  ft; BKN  ft","CYAM 051835Z 27015G22KT 6SM -SHRA BR SCT026 BKN048 13/06 A2953 RMK CU4SC3 SLP006 DENSITY ALT 1000FT",2025-09-05 18:48:17.415256,2025-09-05 14:48:17.415256
"CYTS",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",13,11,88,170,12,24100,29.25,NA,"BKN  ft; OVC  ft","CYTS 051800Z 17012G20KT 15SM -SHRA BKN010 OVC035 13/11 A2925 RMK SF5SC3 CVCTV CLD EMBD SLP913 DENSITY ALT 1700FT",2025-09-05 18:48:17.488706,2025-09-05 14:48:17.488706
"CYSB",2025-09-05 18:22:00,2025-09-05 14:22:00,"VFR",12,10,88,220,17,32200,29.43,NA,"SCT  ft; BKN  ft; BKN  ft","CYSB 051822Z 22017G25KT 20SM -SHRA SCT062 BKN110 BKN230 12/10 A2943 RMK CU3AC2CI1 SLP973 DENSITY ALT 1600FT",2025-09-05 18:48:17.565813,2025-09-05 14:48:17.565813
"CYYB",2025-09-05 18:00:00,2025-09-05 14:00:00,"MVFR",17,11,68,190,27,32200,29.49,NA,"BKN  ft","CYYB 051800Z 19027G36KT 20SM BKN029 17/11 A2949 RMK CU7 SLP991 DENSITY ALT 2200FT",2025-09-05 18:48:17.639867,2025-09-05 14:48:17.639867
"CYOW",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,11,47,180,16,24100,29.71,NA,"FEW  ft; BKN  ft","CYOW 051800Z 18016G24KT 150V210 15SM FEW040 BKN140 23/11 A2971 RMK CU1AC4 SLP065 DENSITY ALT 1700FT",2025-09-05 18:48:17.711925,2025-09-05 14:48:17.711925
"CYGK",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,14,61,200,19,24100,29.75,NA,"SCT  ft; SCT  ft","CYGK 051800Z 20019G27KT 15SM SCT036 SCT250 22/14 A2975 RMK CU3CI1 SLP075 DENSITY ALT 1400FT",2025-09-05 18:48:17.788347,2025-09-05 14:48:17.788347
"CYQG",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",23,9,41,250,23,14500,29.71,NA,"SCT  ft","CYQG 051800Z AUTO 25023G36KT 9SM SCT055 23/09 A2971 RMK SLP063 DENSITY ALT 1900FT",2025-09-05 18:48:17.860687,2025-09-05 14:48:17.860687
"CYVV",2025-09-05 18:38:00,2025-09-05 14:38:00,"MVFR",15,12,82,230,14,9999,29.59,NA,"BKN  ft; BKN  ft","CYVV 051838Z 23014G25KT 10SM BKN029 BKN034 15/12 A2959 RMK CF6CU1 SLP023 DENSITY ALT 1300FT",2025-09-05 18:48:17.934744,2025-09-05 14:48:17.934744
"CYYZ",2025-09-05 18:00:00,2025-09-05 14:00:00,"VFR",22,12,53,210,19,24100,29.66,NA,"BKN  ft; BKN  ft","CYYZ 051800Z 21019G31KT 15SM BKN047 BKN100 22/12 A2966 RMK CU5AC2 SLP044 DENSITY ALT 1900FT",2025-09-05 18:48:18.047959,2025-09-05 14:48:18.047959
